Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,Planta,Fruto,Incidencia,Severidad%
0,24,79,19,0,1,165,1,1,0,0
0,24,79,19,0,1,165,1,2,0,0
0,24,79,19,0,1,165,1,3,1,10
0,24,79,19,0,1,165,1,4,0,0
0,24,79,19,0,1,165,1,5,0,0
0,24,79,19,0,1,165,1,6,0,0
0,24,79,19,0,1,165,1,7,0,0
0,24,79,19,0,1,165,1,8,0,0
0,24,79,19,0,1,165,1,9,1,90
0,24,79,19,0,1,165,1,10,0,0
0,24,79,19,0,1,165,2,1,0,0
0,24,79,19,0,1,165,2,2,0,0
0,24,79,19,0,1,165,2,3,0,0
0,24,79,19,0,1,165,2,4,1,100
0,24,79,19,0,1,165,2,5,0,0
0,24,79,19,0,1,165,2,6,1,80
0,24,79,19,0,1,165,2,7,1,100
0,24,79,19,0,1,165,2,8,0,0
0,24,79,19,0,1,165,2,9,0,0
0,24,79,19,0,1,165,2,10,0,0
0,24,79,19,0,1,165,3,1,0,0
0,24,79,19,0,1,165,3,2,0,0
0,24,79,19,0,1,165,3,3,0,0
0,24,79,19,0,1,165,3,4,0,0
0,24,79,19,0,1,165,3,5,0,0
0,24,79,19,0,1,165,3,6,0,0
0,24,79,19,0,1,165,3,7,1,50
0,24,79,19,0,1,165,3,8,0,0
0,24,79,19,0,1,165,3,9,0,0
0,24,79,19,0,1,165,3,10,1,100
0,24,79,19,0,1,165,4,1,0,0
0,24,79,19,0,1,165,4,2,0,0
0,24,79,19,0,1,165,4,3,0,0
0,24,79,19,0,1,165,4,4,0,0
0,24,79,19,0,1,165,4,5,1,80
0,24,79,19,0,1,165,4,6,0,0
0,24,79,19,0,1,165,4,7,0,0
0,24,79,19,0,1,165,4,8,0,0
0,24,79,19,0,1,165,4,9,0,0
0,24,79,19,0,1,165,4,10,1,100
0,24,79,19,0,1,165,5,1,0,0
0,24,79,19,0,1,165,5,2,0,0
0,24,79,19,0,1,165,5,3,0,0
0,24,79,19,0,1,165,5,4,0,0
0,24,79,19,0,1,165,5,5,1,80
0,24,79,19,0,1,165,5,6,0,0
0,24,79,19,0,1,165,5,7,0,0
0,24,79,19,0,1,165,5,8,0,0
0,24,79,19,0,1,165,5,9,0,0
0,24,79,19,0,1,165,5,10,0,0
0,24,79,19,0,1,165,6,1,0,0
0,24,79,19,0,1,165,6,2,0,0
0,24,79,19,0,1,165,6,3,0,0
0,24,79,19,0,1,165,6,4,0,0
0,24,79,19,0,1,165,6,5,0,0
0,24,79,19,0,1,165,6,6,0,0
0,24,79,19,0,1,165,6,7,0,0
0,24,79,19,0,1,165,6,8,0,0
0,24,79,19,0,1,165,6,9,0,0
0,24,79,19,0,1,165,6,10,0,0
0,24,79,19,0,1,165,7,1,0,0
0,24,79,19,0,1,165,7,2,0,0
0,24,79,19,0,1,165,7,3,0,0
0,24,79,19,0,1,165,7,4,0,0
0,24,79,19,0,1,165,7,5,0,0
0,24,79,19,0,1,165,7,6,0,0
0,24,79,19,0,1,165,7,7,0,0
0,24,79,19,0,1,165,7,8,0,0
0,24,79,19,0,1,165,7,9,0,0
0,24,79,19,0,1,165,7,10,0,0
0,24,79,19,0,1,165,8,1,0,0
0,24,79,19,0,1,165,8,2,0,0
0,24,79,19,0,1,165,8,3,0,0
0,24,79,19,0,1,165,8,4,0,0
0,24,79,19,0,1,165,8,5,0,0
0,24,79,19,0,1,165,8,6,0,0
0,24,79,19,0,1,165,8,7,0,0
0,24,79,19,0,1,165,8,8,0,0
0,24,79,19,0,1,165,8,9,0,0
0,24,79,19,0,1,165,8,10,0,0
0,24,79,19,0,1,165,9,1,0,0
0,24,79,19,0,1,165,9,2,0,0
0,24,79,19,0,1,165,9,3,0,0
0,24,79,19,0,1,165,9,4,1,100
0,24,79,19,0,1,165,9,5,0,0
0,24,79,19,0,1,165,9,6,1,75
0,24,79,19,0,1,165,9,7,1,30
0,24,79,19,0,1,165,9,8,1,100
0,24,79,19,0,1,165,9,9,0,0
0,24,79,19,0,1,165,9,10,0,0
0,24,79,19,0,1,165,10,1,0,0
0,24,79,19,0,1,165,10,2,0,0
0,24,79,19,0,1,165,10,3,0,0
0,24,79,19,0,1,165,10,4,0,0
0,24,79,19,0,1,165,10,5,0,0
0,24,79,19,0,1,165,10,6,0,0
0,24,79,19,0,1,165,10,7,0,0
0,24,79,19,0,1,165,10,8,0,0
0,24,79,19,0,1,165,10,9,0,0
0,24,79,19,0,1,165,10,10,0,0
